training_losses,validation_losses,Training Accuracy,Validation Accuracy,Learning rates
0.6980786233244616,0.6932145010124182,0.7529936004430056,0.7572165131568909,0.001
0.6931821007978237,0.6931657906293928,0.7562249281133214,0.7572165131568909,0.001
0.6931594782557191,0.6931554901134531,0.7562249281133214,0.7572165131568909,0.001
0.6931532291020749,0.6931516958108993,0.7562249281133214,0.7572165131568909,0.001
0.6931506279413874,0.6931498900834351,0.7562249281133214,0.7572165131568909,0.001
0.693149312041398,0.6931489113328893,0.7562249281133214,0.7572165131568909,0.001
0.6931485665982652,0.6931483268112456,0.7562249281133214,0.7572165131568909,0.001
0.6931481122216829,0.6931479521059671,0.7562249281133214,0.7572165131568909,0.001
0.693147816165425,0.6931477165513525,0.7562249281133214,0.7572165131568909,0.001
0.6931476220281853,0.693147546287292,0.7562249281133214,0.7572165131568909,0.001
0.6931474861432558,0.6931474366206344,0.7562249281133214,0.7572165131568909,0.001
0.693147395178197,0.6931473673869522,0.7562249281133214,0.7572165131568909,0.001
0.6931473392413849,0.6931473129280725,0.7562249281133214,0.7572165131568909,0.001
0.6931472957545747,0.6931472876909405,0.7562249281133214,0.7572165131568909,0.001
0.6931472708163491,0.6931472535102204,0.7562249281133214,0.7572165131568909,0.001
0.6931472483591097,0.6931472384999844,0.7562249281133214,0.7572165131568909,0.001
0.6931472257386533,0.6931472117181422,0.7562249281133214,0.7572165131568909,0.001
0.6931472141854559,0.6931472179658975,0.7562249281133214,0.7572165131568909,0.001
0.6931472143916534,0.6931472125784482,0.7562249281133214,0.7572165131568909,0.001
0.6931472152938208,0.6931472252271891,0.7562249281133214,0.7572165131568909,0.001
0.6931472191145353,0.693147213853398,0.7562249281133214,0.7572165131568909,0.001
0.6931472095790494,0.6931472063304125,0.7562249281133214,0.7572165131568909,0.001
0.6931472030522293,0.6931472002898657,0.7562249281133214,0.7572165131568909,0.001
0.6931471977293155,0.6931471955292035,0.7562249281133214,0.7572165131568909,0.001
0.6931471937303324,0.6931471922154905,0.7562249281133214,0.7572165131568909,0.001
0.6931471908390985,0.6931471896579755,0.7562249281133214,0.7572165131568909,0.001
0.6931471886470484,0.6931471879402769,0.7562249281133214,0.7572165131568909,0.001
0.6931471872025082,0.6931471865690114,0.7562249281133214,0.7572165131568909,0.001
0.693147186016805,0.6931471855482612,0.7562249281133214,0.7572165131568909,0.001
0.6931471851380258,0.6931471847900654,0.7562249281133214,0.7572165131568909,0.001
0.6931471844858682,0.6931471842282425,0.7562249281133214,0.7572165131568909,0.001
0.6931471840025346,0.6931471838106202,0.7562249281133214,0.7572165131568909,0.001
0.6931471836421562,0.6931471834990494,0.7562249281133214,0.7572165131568909,0.001
0.6931471833727605,0.6931471832656246,0.7562249281133214,0.7572165131568909,0.001
0.693147183170493,0.6931471830899439,0.7562249281133214,0.7572165131568909,0.001
0.6931471830179086,0.693147182957075,0.7562249281133214,0.7572165131568909,0.001
0.6931471829022294,0.6931471828560751,0.7562249281133214,0.7572165131568909,0.001
0.6931471828140823,0.6931471827789056,0.7562249281133214,0.7572165131568909,0.001
0.6931471827465674,0.6931471827196369,0.7562249281133214,0.7572165131568909,0.001
0.6931471826945844,0.6931471826738744,0.7562249281133214,0.7572165131568909,0.001
0.6931471826543435,0.6931471826383439,0.7562249281133214,0.7572165131568909,0.001
0.6931471826230134,0.6931471826105926,0.7562249281133214,0.7572165131568909,0.001
0.6931471825984679,0.6931471825887733,0.7562249281133214,0.7572165131568909,0.001
0.693147182579103,0.6931471825714913,0.7562249281133214,0.7572165131568909,0.001
0.6931471825637062,0.69314718255769,0.7562249281133214,0.7572165131568909,0.001
0.693147182551359,0.6931471825465689,0.7562249281133214,0.7572165131568909,0.001
0.6931471825413641,0.6931471825375202,0.7562249281133214,0.7572165131568909,0.001
0.6931471825331931,0.6931471825300832,0.7562249281133214,0.7572165131568909,0.001
0.6931471825264447,0.6931471825239078,0.7562249281133214,0.7572165131568909,0.001
0.6931471825208136,0.6931471825187272,0.7562249281133214,0.7572165131568909,0.001
0.6931471825160672,0.6931471825143377,0.7562249281133214,0.7572165131568909,0.001
0.6931471825120273,0.6931471825105827,0.7562249281133214,0.7572165131568909,0.001
0.6931471825085568,0.6931471825073418,0.7562249281133214,0.7572165131568909,0.001
0.6931471825055487,0.6931471825045201,0.7562249281133214,0.7572165131568909,0.001
0.6931471825029207,0.693147182502045,0.7562249281133214,0.7572165131568909,0.001
0.6931471825006073,0.6931471824998575,0.7562249281133214,0.7572165131568909,0.001
0.6931471824985561,0.6931471824979116,0.7562249281133214,0.7572165131568909,0.001
0.6931471824967264,0.6931471824961698,0.7562249281133214,0.7572165131568909,0.001
0.6931471824950841,0.6931471824946018,0.7562249281133214,0.7572165131568909,0.001
0.6931471824936026,0.6931471824931836,0.7562249281133214,0.7572165131568909,0.001
0.6931471824922593,0.6931471824918943,0.7562249281133214,0.7572165131568909,0.001
0.6931471824910356,0.6931471824907172,0.7562249281133214,0.7572165131568909,0.001
0.6931471824899164,0.6931471824896382,0.7562249281133214,0.7572165131568909,0.001
0.6931471824888886,0.6931471824886454,0.7562249281133214,0.7572165131568909,0.001
0.6931471824879416,0.693147182487729,0.7562249281133214,0.7572165131568909,0.001
0.6931471824870662,0.6931471824868802,0.7562249281133214,0.7572165131568909,0.001
0.6931471824862544,0.6931471824860921,0.7562249281133214,0.7572165131568909,0.001
0.6931471824854997,0.6931471824853582,0.7562249281133214,0.7572165131568909,0.001
0.6931471824847962,0.6931471824846733,0.7562249281133214,0.7572165131568909,0.001
0.6931471824841391,0.6931471824840326,0.7562249281133214,0.7572165131568909,0.001
0.6931471824835236,0.6931471824834318,0.7562249281133214,0.7572165131568909,0.001
0.6931471824829457,0.6931471824828671,0.7562249281133214,0.7572165131568909,0.001
0.6931471824824021,0.6931471824823352,0.7562249281133214,0.7572165131568909,0.001
0.6931471824818898,0.6931471824818334,0.7562249281133214,0.7572165131568909,0.001
0.6931471824814062,0.693147182481359,0.7562249281133214,0.7572165131568909,0.001
0.6931471824809488,0.6931471824809103,0.7562249281133214,0.7572165131568909,0.001
0.6931471824805157,0.6931471824804851,0.7562249281133214,0.7572165131568909,0.001
0.693147182480105,0.6931471824800816,0.7562249281133214,0.7572165131568909,0.001
0.6931471824797151,0.6931471824796981,0.7562249281133214,0.7572165131568909,0.001
0.6931471824793441,0.6931471824793329,0.7562249281133214,0.7572165131568909,0.001
0.6931471824789911,0.693147182478985,0.7562249281133214,0.7572165131568909,0.001
0.6931471824786544,0.6931471824786531,0.7562249281133214,0.7572165131568909,0.001
0.6931471824783331,0.6931471824783362,0.7562249281133214,0.7572165131568909,0.001
0.6931471824780261,0.6931471824780333,0.7562249281133214,0.7572165131568909,0.001
0.6931471824777327,0.6931471824777435,0.7562249281133214,0.7572165131568909,0.001
0.6931471824774518,0.693147182477466,0.7562249281133214,0.7572165131568909,0.001
0.6931471824771825,0.6931471824772,0.7562249281133214,0.7572165131568909,0.001
0.6931471824769244,0.6931471824769447,0.7562249281133214,0.7572165131568909,0.001
0.6931471824766768,0.6931471824766997,0.7562249281133214,0.7572165131568909,0.001
0.6931471824764389,0.6931471824764643,0.7562249281133214,0.7572165131568909,0.001
0.6931471824762103,0.6931471824762379,0.7562249281133214,0.7572165131568909,0.001
0.6931471824759903,0.6931471824760198,0.7562249281133214,0.7572165131568909,0.001
0.6931471824757786,0.6931471824758098,0.7562249281133214,0.7572165131568909,0.001
0.6931471824755744,0.6931471824756075,0.7562249281133214,0.7572165131568909,0.001
0.6931471824753775,0.6931471824754123,0.7562249281133214,0.7572165131568909,0.001
0.6931471824751878,0.693147182475224,0.7562249281133214,0.7572165131568909,0.001
0.6931471824750046,0.693147182475042,0.7562249281133214,0.7572165131568909,0.001
0.6931471824748274,0.6931471824748662,0.7562249281133214,0.7572165131568909,0.001
0.6931471824746565,0.6931471824746961,0.7562249281133214,0.7572165131568909,0.001
0.6931471824744909,0.6931471824745317,0.7562249281133214,0.7572165131568909,0.001
